Product,Verdict,Buyer,Country,Wants,Posted,Contact,Source URL,Verifier note
Copper sulphate,plausible,PT Mitraindo Adi Perkasa,Indonesia,"Copper sulphate importer/buy request (Premium-gated on TradeKey). Surabaya water-treatment chemicals distributor whose line (TCCA, calcium hypochlorite, H2O2, alum, caustic soda, chlorine) makes CuSO4 a plausible algaecide add.",2025-04-23,"Direct (independently found): mitraindo2023@gmail.com, +62 811-300-685, Ruko HR Muhammad Square C-6, Jl. Raya Darmo Permai II, Surabaya 60226. TradeKey masked lead: merchandising.smj@***",https://importer.tradekey.com/copper-sulphate-importer.html,"Company INDEPENDENTLY verified as a real Surabaya water-treatment chemicals distributor (est. 2023; profiles on Indonetwork, Indotrading, companieshouse.id, Facebook; direct email/phone above). Copper-sulphate importer lead confirmed LIVE on TradeKey, updated 23 Apr 2025. Buy-side plausible (distributor importing wholesale to add to line), Indonesia (outside Iran). Not 'confirmed' because the specific TradeKey lead's details are Premium-gated and not independently re-confirmable; distributor could also resell."
Copper sulphate,plausible,"City of Watertown, New York — Water Treatment Plant",United States (New York),"Process chemicals for the municipal Water Treatment Plant (Bid #2025-06); candidate lists copper sulfate (Size B), ~1 ton, alongside chlorine, sodium silicate, hydrofluosilicic acid, alum, PAC.",2025-04-29 (bid opening),"Tina Bartlett-Bearup, Purchasing Manager, City of Watertown, (315) 785-7749, tbartlettbearup@watertown-ny.gov",https://www.watertown-ny.gov/events/37260/,"Bid #2025-06 'Process Chemicals for the Water Treatment Plant' confirmed on the city site, opening 29 Apr 2025; real named municipal buyer, US (outside Iran), reachable purchasing contact found. Kept as PLAUSIBLE not confirmed because the public event page does NOT itemize copper sulfate (candidate's 1-ton Size B line unconfirmed) and the bid is now closed. Recurring buyer — successor Bid #2026-08 (same plant) is already posted, so demand is live and repeating."
Copper sulphate,plausible,Sattenapalle Municipality — Head Water Works,India (Andhra Pradesh),"Copper sulphate bundled with chlorine gas, alum and bleaching powder — supply/delivery to head water works for water-supply maintenance, FY 2025-26.",2025-05-16 (FY 2025-26 tender),Sattenapalle Municipality via Andhra Pradesh e-procurement portal (apeprocurement.gov.in); listing on tender247 / municipalitytenders.co.in (Tender ID 49040399),https://www.tender247.com/tender-details/88195809?searchtext=chlorine+gas,"Tender for supply/delivery of chlorine gas, alum, bleaching powder AND copper sulphate to head water works (FY 2025-26), Sattenapalle Municipality, confirmed present via tender247 and municipalitytenders.co.in listings. Buy-side municipal procurement, India (outside Iran), real named entity. PLAUSIBLE not confirmed: copper-sulphate quantity/line detail not verified on the primary AP e-procurement portal; small municipal volume."
Saffron (Sargol + Pushal),confirmed,"EspaceAgro buyer, listing ref 699801 (France, spice-sourcing business project; advertiser identity behind free login)",France,"Explicitly seeks Iranian saffron ('safran iranien') plus Moroccan/Spanish; all origins to be evaluated. Sourcing/evaluation stage, no fixed grade or quantity. Directly names Iranian saffron, so most on-target for Sargol/Pushal.",2025-07-31,"Via EspaceAgro messaging 'Contacter l'annonceur', ref 699801 — free registration required; no public email/phone on page",https://www.espaceagro.com/epices-aromates/safran-iranien_i699801.html,"Re-verified from the real (non-paywalled) listing page AND independently corroborated by web search: it is an ACHAT (buy) request from a France buyer explicitly naming Iranian saffron, dated 31/07/2025. Buy-side, outside Iran, 2025+ all confirmed. Only weakness: contact gated behind free login."
Saffron (Sargol + Pushal),confirmed,"EspaceAgro buyer, listing ref 711213 (Spain wholesaler / 'grossiste')",Spain,"Bulk saffron for commercial use: high quality, intense red color, strong aroma, WHOLE FILAMENTS (Negin-type), competitive per-kg pricing. Origin open, so Iranian Sargol/Negin qualifies. Spain is a top destination for Iranian saffron.",2026-03-16,"Via EspaceAgro messaging, ref 711213 — free registration required; contact gated",https://www.espaceagro.com/epices-aromates/azafran_i711213.html,"Re-read the real listing page; it returns the verbatim ACHAT quote 'je souhaite acheter du safran (azafran) en gros pour un usage commercial... filaments entiers', advertiser type grossiste, Spain, dated 16/03/2026. Buy-side + date + outside-Iran all re-verified from source. Contact gated behind free login."
Saffron (Sargol + Pushal),plausible,"EspaceAgro buyer, listing ref 715651 (France, distribution France/Spain)",France,"Superior-quality or certified-organic saffron in genuine bulk: 10 kg and 50 kg lots scaling toward ~1 tonne/year; wants delivery + payment terms; delivery France or Spain. Origin open, so Iranian Sargol/Negin qualifies. Strongest volume signal of the surviving set.",2026-05-07,"Via EspaceAgro messaging, ref 715651 — free registration required; contact gated",https://www.espaceagro.com/epices-aromates/bsafran-b_i715651.html,"Opened the real listing page: labeled ACHAT, with the stated 10/50 kg to ~1 tonne/year quantities and France/Spain delivery, dated 07/05/2026 — a consistent, genuine buy-side signal and the strongest volume. Marked plausible not confirmed because the fetched text was somewhat generic and I could not independently corroborate it via a second source. Contact gated."
Pistachios (Akbari / Ahmad Aghaei / snack),confirmed,Jktrade0 (Korean pistachio buyer),South Korea,"Pistachios, 20 tons/month (~200 t/yr)","Mar 10, 2026",jktrade0@naver.com / WhatsApp +82 10 3040 4802 (published openly on the listing),https://importer.tradekey.com/pistachios-importer.html,"Re-verified on TradeKey source: date Mar 10 2026, buy-side ('Korean company that promotes pistachios for purchase of 20 tons per month'), South Korea = outside Iran. Strongest of the set because the email + phone are published on the listing rather than paywalled, so the contact is actually reachable. Only a handle (no corporate registry trace found), but real and contactable."
Pistachios (Akbari / Ahmad Aghaei / snack),confirmed,Mario Yedid,Argentina,"Roasted & salted pistachios, size 18/22, 10kg bags, 1x20ft container (snack grade), L/C","Jul 24, 2026",Named person Mario Yedid; enquiry via go4WorldBusiness (contact details membership-gated),https://www.go4worldbusiness.com/buyleads/pistachio.html,"Re-verified on go4WorldBusiness source: date Jul-24-26, genuine buy-side, Argentina = outside Iran, snack-grade 18/22 directly matches the product. Independent web search corroborates 'Mario Yedid' as an Argentine nuts/dried-fruit buyer seeking roasted/salted pistachio. Named real person; contact itself is gated."
Pistachios (Akbari / Ahmad Aghaei / snack),plausible,Bingo International Trade (Changzhou),China,"Hazelnut kernel + pistachio + almond, 200 MT/month each (~2,500 t/yr)","Oct 24, 2025",Masked on TradeKey (premium / sign-in gated),https://importer.tradekey.com/pistachio-kernel-importer.html,"On the TradeKey board dated Oct 24 2025 with a human-worded RFQ, buy-side, China = outside Iran. COULD NOT independently verify a Changzhou nut-importer named 'Bingo International Trade' — the only real 'Bingo International' firms found are in Guangzhou (chemicals/cosmetics) and Ningbo (valves), i.e. different cities and industries. Pistachio is only one of three nuts requested. Entity unverifiable and contact gated, hence plausible not confirmed."
Pistachios (Akbari / Ahmad Aghaei / snack),plausible,Anonymous Poland importer (handle 05280808072),Poland,"Raw unshelled (in-shell) pistachios, 540 tons","Mar 20, 2025",Handle/phone '05280808072' only; full contact TradeKey-premium gated,https://importer.tradekey.com/iran-pistachio-importer.html,"Re-verified on TradeKey source: date Mar 20 2025 (right at the 2025 cutoff), human-worded ('reliable supplier of raw unshelled pistachios for my business in Poland'), buy-side, outside Iran. WEAKEST keeper: no named entity (phone-number handle only) and the number format '0528...' is a Turkish (+90) mobile prefix, not Polish — a scrape/mislabel red flag. Kept only for the specific human requirement + a live source URL; treat with caution."
Natural honey + royal jelly,confirmed,Ikram Ullah Niazi,Afghanistan,"Raw natural honey, 1-20 metric tons, worldwide sourcing accepted (open to Iranian origin), CIF, L/C",2026-03-25,Full buyer name Ikram Ullah Niazi; contact gated behind go4WorldBusiness supplier registration,https://www.go4worldbusiness.com/find?searchText=raw-honey&BuyersOrSuppliers=buyers,"Re-fetched the live page and confirmed date (Mar-25-26) + buy-side (1-20T raw honey, worldwide sourcing, L/C). Strongest lead: full name, largest volume, no origin lock so Iranian honey fits, and Afghanistan is a realistic regional partner for Iran. Only weakness is the gated contact."
Natural honey + royal jelly,confirmed,Syed,Malaysia,"Natural honey (raw and processed) for consumption/medicinal use, 1 twenty-foot container, FOB/CIF, L/C or T/T",2026-04-30,Buyer first name Syed only; contact gated behind go4WorldBusiness registration,https://www.go4worldbusiness.com/find?searchText=raw-honey&BuyersOrSuppliers=buyers,"Re-fetched the live page and confirmed date (Apr-30-26) + buy-side. Good fit: full container, no origin restriction, raw+processed acceptable. Kept but noted as weaker because entity is only a first name with a gated contact."
Natural honey + royal jelly,plausible,Maison del Gusto,France,"High-quality raw white honey, ideally sainfoin honey; buyer states Kyrgyzstan as preferred origin",2026-04-20,"TradeKey 'Quote Now' (paywalled for premium members); Maison del Gusto is a real named French gourmet business, directly reachable off-platform",https://importer.tradekey.com/raw-honey-importer.html,"Re-verified on TradeKey: date Apr 20 2026 + buy-side. Real named entity. Kept as plausible not confirmed because origin preference is Kyrgyz sainfoin honey (only a partial fit — Iran does produce sainfoin/esparcette honey, and 'ideally' is a soft preference) and the direct contact is paywalled."
Natural honey + royal jelly,plausible,Rang Ventures LLC,United States,Bulk natural honey with moisture content below 20%,2026-07-07,TradeKey 'Quote Now' (paywalled for premium members),https://importer.tradekey.com/natural-honey-importer.html,"Re-verified on TradeKey: 'Last Updated Jul 07 2026', USA, real LLC name, buy-side. Fit is fine (only a moisture spec, no origin lock). Kept as plausible because the TradeKey date is a 'last updated' bump rather than an explicit post date and the contact is paywalled."
Natural honey + royal jelly,plausible,Mhr Trading Private Limited,Maldives,"Natural honey, 1 twenty-foot container, 100% natural / food grade, FOB, bank transfer",2025-04-30,"Real registered Maldives importer; address Boduthakurufaanu Magu / Raa Atoll, Male, Maldives; RFQ contact gated but company reachable directly",https://eximnext.com/buy-lead/natural-honey-97,"Re-verified date (Apr 30 2025) + buy-side on EximNext, AND independent trade databases confirm Mhr Trading Pvt Ltd is a genuine active Maldives importer (~166 shipments, GST-registered). Kept as plausible not confirmed because this specific RFQ is now marked CLOSED/stale — but the company itself is real and approachable."
Natural honey + royal jelly,plausible,Balma Maldives Private Limited,Maldives,"Natural honey, food grade, quantity depends on price, FOB, L/C",2025-04-30,"Real registered Maldives importer; address H. Reefview 2nd floor, Male, Maldives; RFQ contact gated but company reachable directly",https://eximnext.com/buy-lead/natural-honey-93,"Re-verified date (Apr 30 2025) + buy-side on EximNext, AND independent trade databases confirm Balma Maldives Pvt Ltd is a real importer (~436 shipments, sources from India/Sri Lanka). Kept as plausible because the RFQ is now CLOSED/stale, but the importer is genuine and reachable."
Natural honey + royal jelly,plausible,"Beetopia Co., Ltd.",South Korea,"Fresh royal jelly, ~1,000 kg/month, 100% purity (buyer states Vietnam as preferred origin)",2025 (inferred from listing expiry 2026-05-23),"Independently found: phone 82-31-521-7063; Rm. 701 Ivy Tower, 487-1 Deokso-ri, Wabu-eup, Namyangju-si, Gyeonggi-do, South Korea",https://www.exporthub.com/importers/royal-jelly/,"ExportHub blocked direct fetch (403), but independent search confirmed Beetopia is a genuine South Korean bee-products importer/distributor (honey, royal jelly, propolis, pollen) with a reachable phone and address — the only substantiable royal jelly buyer in the set. Kept as plausible because the post date is only inferred from the 2026 expiry (not explicitly stated, and now expired) and origin preference is Vietnam."
Plastic parts + PE packaging,confirmed,Welsh Government (WGCD) — on behalf of the Welsh Public Sector,United Kingdom (Wales),"Framework for Waste Bags & Recycling Collection Products; Lot 1 = Single-Use Refuse & Recycling Plastic (polythene) Sacks, CPV 19640000. Ref WGCD-PCS-133-25.",2025 (framework 3 Nov 2025–2 Nov 2029; award announced 30 Oct 2025),etenderwales / Bravo eProcurement portal linked from the Find a Tender notice,https://www.find-tender.service.gov.uk/Notice/080162-2025,"Re-verified via Find a Tender: genuine buy-side framework, Lot 1 polythene sacks (CPV 19640000), est ~£16M excl VAT, Wales/UK, dated 2025. Caveat: it is now an AWARDED 4-year buying framework (suppliers appointed), not a fresh open tender — a live purchasing vehicle and strong demand signal rather than an open bid."
Plastic parts + PE packaging,confirmed,Derry City & Strabane District Council,United Kingdom (Northern Ireland),"Supply & delivery of Polythene Refuse Sacks, 12 months Apr 2026–Mar 2027; est ~£20,000 incl VAT.",2025 (notice 079010-2025; deadline 12 Jan 2026),Submit via etendersNI e-sourcing portal (referenced in the notice),https://www.find-tender.service.gov.uk/Notice/079010-2025,"Re-confirmed: notice 079010-2025, polythene refuse sacks, deadline 12 Jan 2026 via etendersNI, est £20k incl VAT. Genuine buy-side and, unlike most others here, a genuinely OPEN opportunity at time of check. Real named UK entity, outside Iran."
Plastic parts + PE packaging,confirmed,"South Holland, Boston Borough & East Lindsey District Councils (three-council partnership)",United Kingdom (England),"Supply & delivery of Refuse Sacks and Caddy Liners across the three areas; est ~£1,020,000 excl VAT.",2025 (notice 084121-2025; award notice 085916-2025),Councils' e-tendering portal linked from the Find a Tender notice,https://www.find-tender.service.gov.uk/Notice/084121-2025,"Verified: real 2025 buy-side notice, ~£1.02M, refuse sacks + caddy liners. Caveat: now AWARDED (three suppliers, contract 1 Jun 2026–31 May 2029 per award notice 085916-2025 / GovPing) — closed, so a demand signal not an open bid."
Plastic parts + PE packaging,confirmed,uLundi Local Municipality (KwaZulu-Natal),South Africa,"Supply & delivery of Refuse Bags for 36 months — black PE refuse bags 30 micron, 760x970mm; plastic samples required. Bid 04/2025/2026.",2025 (closing 3 Dec 2025),SCM office — tkhoza@ulundi.gov.za and nluzipho@ulundi.gov.za (Mrs N.S. Luzipho),https://www.ulundi.gov.za/storage/app/media/Year25-26/OpenTenders/Refuse%20bags.pdf,"Verified on ulundi.gov.za: Bid 04/2025/2026, refuse bags 36-month supply, closed 3 Dec 2025. Real municipality, South Africa, genuine buy-side, PE match (HS 3923). Caveat: now at 'Intention to Award' stage (bids 03/04/05 2025/26)."
Plastic parts + PE packaging,confirmed,Umsobomvu Local Municipality (Northern Cape),South Africa,"Heavy-duty black polyethylene refuse bags, 750x950mm, 40 micron, folded/packed 20x10 per bale (municipal RFQ).",2025 (RFQ doc 30 Sep 2025; closed 7 Oct 2025),"Mr N Thiso, tel (051) 753 0040, ncedo@umsobomvumun.co.za (SCM, 21A Church St, Colesberg 9795)",https://www.etenders.gov.za/home/Download?blobName=a8a98333-aa3a-44a7-a76b-5019e715f1de.pdf&downloadedFileName=RFQ+DOCUMENT+FOR+REFUSE+BAGS+30-09-2025.pdf,"Verified on etenders.gov.za: RFQ for HD black PE refuse bags 750x950mm/40mic. Real municipality, direct PE match, buy-side, outside Iran. Found a better named contact (Mr N Thiso) than the candidate's generic tender-box. Caveat: short RFQ, now closed (7 Oct 2025)."
Plastic parts + PE packaging,plausible,Jameel General Trading LLC,United Arab Emirates,"Customized printed food-packaging (plastic) bags for take-away; ~200,000 sets, 1-colour/1-side, OEM/logo — sourcing from a manufacturer.","TradeKey buy lead, last updated 15 Aug 2025",Via TradeKey (buyer contact gated to premium members),https://importer.tradekey.com/plastic-bags-importer.html,"Buy lead re-seen on TradeKey with matching detail, date and quantity; wording ('from a professional manufacturer') is genuinely buy-side, UAE. Kept only as plausible: low-trust B2B board, contact gated to paying members, and 'Jameel General Trading LLC' not independently verifiable as a live entity."
Plastic parts + PE packaging,plausible,"Rogaland-region waste-management contracting authority (likely IVAR IKS, Stavanger) — TED 428524-2025",Norway,"2-year framework for polythene waste & refuse sacks and bags (CPV 19640000); est 25,000,000 NOK excl VAT.",2025,"Via TED notice 428524-2025 full record (contracting-authority contact behind TED's JS page); likely IVAR IKS, Stavanger",https://ted.europa.eu/en/notice/428524-2025/pdfs,"Tender is real (TED 428524-2025, CPV 19640000, Rogaland NO, 25M NOK, 2-yr framework, dated 2025, buy-side, outside Iran). Downgraded to plausible: the specific buyer NAME is rendered behind TED's JS notice and could not be re-confirmed by fetch; open-web evidence points to IVAR IKS (Rogaland inter-municipal waste co.) as the likely authority but this is inference, not confirmed. Kept on strength of the solid source URL."
Neyshabur turquoise + semi-precious stones/jewelry,confirmed,East Coast Carry,United States,"Turquoise / Native American / Southwestern sterling silver jewelry — turquoise, spiny oyster, rings, cuffs, Navajo pearls, squash blossoms, najas. Monthly buyer, PayPal, ships to US.","May 21, 2025 (TradeKey detail page shows a Jun 29, 2026 bump)",Public storefront eastcoastcarry.com (reachable); TradeKey buyer messaging masked behind sign-in. Duplicate of candidate #7 (turquoise-importer.html) — merged.,https://importer.tradekey.com/buyoffer/Southwestern-And-Native-American-Sterling-Silver-Jewelry-3722959.html,"Re-verified date (May 21, 2025) and buy-side language ('Looking for a jewelry supplier for southwestern and Native American jewelry...') on both the TradeKey detail page and the turquoise-importer listing. Real, reachable named entity: search confirms eastcoastcarry.com is a genuine US retailer of turquoise/Native American jewelry. Outside Iran. CAVEAT: they source authentic American/Navajo-made turquoise (sterling silver, artisan/vintage) — Persian Neyshabur turquoise is a stretch fit; loose stones are the only plausible angle, not finished Persian pieces."
Neyshabur turquoise + semi-precious stones/jewelry,plausible,"313 Rings (TradeKey handle, unverified)",Canada,"Semi-precious stones in bulk, primarily Yemeni aqeeq (agate); feroza (turquoise) and dur najaf explicitly 'all fine'. Quarterly, PayPal.","Jan 25, 2026 (detail page shows a Jul 23, 2026 bump)",Masked behind TradeKey sign-in; no public email/phone/website found.,https://importer.tradekey.com/buyoffer/Looking-For-Aqeeq-Stones-In-Bulk-3791597.html,"Genuine 2025+ buy-side RFQ re-verified from detail page ('Want to buy aqeeq stones in bulk. Yemeni preffered... Feroza, dur najaf all fine.'), outside Iran (Canada), on-scope for semi-precious stones. Downgraded to plausible because feroza/turquoise is only an incidental 'also fine' item (primary demand is Yemeni agate), the buyer name is not shown on the page (masked), and no reachable public contact surfaced."
Neyshabur turquoise + semi-precious stones/jewelry,plausible,Zee links,Pakistan,Feroza (turquoise) in bulk quantity.,"Mar 28, 2025 (companion post Mar 22; detail page shows a Jul 13, 2026 bump)",Masked behind TradeKey sign-in; no public email/phone/website found.,https://importer.tradekey.com/buyoffer/Need-Feroza-3695597.html,"Real 2025+ feroza buy-side RFQ; name 'Zee links' confirmed on the turquoise-importer listing; buy-side re-verified ('need feroza in bulk quantity', 'I need feroza can you send me the information?'); outside Iran. Kept as plausible-low: generic unverifiable business name, no reachable contact, and Pakistani feroza buyers are commonly middlemen/re-traders (Pakistan is itself a turquoise trade hub), so end-demand is uncertain."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",confirmed,Universal Foodstuff Trading LLC,Oman,"Cumin seeds — 100 t/order, ~4,000 t/yr, purity 97-99.5%, origin 'all over the world' (Iran-eligible), FOB Sohar/Jebel Ali, weekly",2026-07-07,"Gated — TradeKey buyer profile, sign-in/premium required",https://importer.tradekey.com/buyoffer/CUMIN-SEED-3862619.html,"Live TradeKey buyoffer detail page re-verified: genuine RFQ, buy-side, Oman (outside Iran), posted Jul 7 2026, origin-agnostic so Iranian Khorasan cumin is directly sourceable. Only caveat: the buyer company name is gated behind sign-in on the page, so the specific name 'Universal Foodstuff' could not be re-confirmed — but the RFQ and date are real."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",confirmed,Creek Line General Trading LLC,United Arab Emirates,"Cumin Seed (Singapore 99 grade), 6 x 20ft containers, CIF Fujairah, 25 kg PP bags, monthly",2026-07-06,Gated — 'Sign In Now' to view buyer contact on TradeKey,https://importer.tradekey.com/buyoffer/Cumin-Seed-3801225.html,"Live TradeKey buyoffer detail page re-verified: genuine buy-side RFQ, UAE (outside Iran), posted 06 Jul 2026, CIF Fujairah, monthly. Buyer name is gated on the page (name 'Creek Line' not confirmable there), and the 'Singapore 99' Indian grade spec means Iranian cumin needs grade-matching — but the request is real and recent."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,Super Spice Foodstuff Trading LLC,United Arab Emirates (Dubai),"Cumin seeds, bulk, monthly recurring",2026-07-09 (also Jul 03; recurring),Gated — TradeKey 'Quote Now',https://importer.tradekey.com/uae/cumin-seed.htm,"Named Dubai foodstuff company appears on the live TradeKey UAE cumin-seed buyers directory with multiple distinct 2026 posting dates (Jul 03 & Jul 09) and monthly frequency — buy-side, outside Iran. Only plausible not confirmed because directory 'posted' dates are auto-bump-prone and the contact is login-gated; could not open a dedicated per-buyer RFQ."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,Stock Wonders Goods Wholesalers LLC,United Arab Emirates (Dubai),"Cumin seeds (Singapore 99), 25 kg bulk, ~5 containers monthly; also sunflower oil, turmeric fingers",2026-07-20 (also Jul 02),Gated — TradeKey 'Quote Now',https://importer.tradekey.com/uae/cumin-seed.htm,"Named Dubai wholesaler on the live cumin-buyers directory with two 2026 posting dates (Jul 02 & Jul 20), monthly — buy-side, outside Iran. Plausible not confirmed: directory-level dates only, contact gated, and 'Singapore 99' is an Indian grade spec."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,ALMATHAQA ALTABAI FOODSTUFF L.L.C,United Arab Emirates (Dubai),"Cumin seeds, monthly buying frequency",2026-05-11,Gated — TradeKey/EC21 platform,https://importer.tradekey.com/uae/cumin-seed.htm,"Named Dubai foodstuff importer confirmed present on the live cumin-buyers directory (Foodstuff category, monthly, May 11 2026) — buy-side, outside Iran. Weakest of the kept cumin leads: single date, generic foodstuff importer with no cumin-specific quantity, contact gated."
